Handle,Command,Body HTML
36-inch-ignition-cable-assembly-with-a-straight-boot,UPDATE,"<p>Ignition cable assembly from Resideo (Honeywell Home), 36 inch, straight boot, part number 392125-2/U.</p><p>The ignition cable carries several thousand volts from the module to the electrode. Its insulation is the only thing keeping that voltage on its intended path, and a cable that has been routed against hot sheet metal for a decade will track to ground long before it looks damaged.</p><p>An intermittent spark that gets worse when the blower runs is usually the cable, not the module.</p><p>Route the replacement the way the original ran, clear of metal edges and away from the flame path, and seat the boot fully on the electrode. A boot pushed on only part way arcs to the nearest ground instead of across the gap, which reads on the meter as a healthy module and behaves in the field as no ignition.</p><p>Length matters as much as fit. A cable cut or coiled to take up slack changes how the circuit behaves at several thousand volts, and the assembly is supplied at the length the appliance was designed around.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 392125-2/U</li><li><strong>Type:</strong> Ignition cable assembly</li><li><strong>Length:</strong> 36 in</li><li><strong>Boot:</strong> Straight</li><li><strong>UPC:</strong> 085267029117</li><li><strong>Category:</strong> Ignition Components</li></ul>"
combination-intermittent-pilot-burner-and-ignitor-with-front-tip,UPDATE,"<p>Pilot burner from Resideo (Honeywell Home), part number Q345A1305/U, front single-tip style.</p><p>The pilot burner holds the small standing flame that lights the main burner and keeps the thermocouple hot. It is a part that does not fail so much as it clogs — lint, rust scale and spider webs in the pilot tube are the classic cause of a furnace that will not stay lit.</p><p>The <strong>front tip</strong> orientation aims the flame at the main burner. Tip direction is not cosmetic: a pilot aimed wrong lights late, heats the thermocouple poorly, or fails to carry over to the burner at all.</p><p>Pilot assemblies are sized and aimed for the appliance they were built for, and the catalogue is full of parts that look alike across the bench. Bracket geometry, tube length, tip direction and orifice all have to line up, which is why the part number on the old assembly is worth more than a visual match.</p><p>When a pilot problem turns out not to be the burner, it is nearly always upstream of it: a blocked or kinked pilot tube, a thermocouple that no longer makes millivolts, or a draft condition pulling the flame off the thermocouple tip. Replace the assembly, but check the tube and the draft while it is apart.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q345A1305/U</li><li><strong>Type:</strong> Pilot burner</li><li><strong>Tip style:</strong> Front</li><li><strong>UPC:</strong> 085267067850</li><li><strong>Category:</strong> Pilot Burners</li></ul>"
combination-intermittent-pilot-burner-and-ignitor-with-left-tip,UPDATE,"<p>Pilot burner from Resideo (Honeywell Home), part number Q345A1313/U, left single-tip style.</p><p>The pilot burner holds the small standing flame that lights the main burner and keeps the thermocouple hot. It is a part that does not fail so much as it clogs — lint, rust scale and spider webs in the pilot tube are the classic cause of a furnace that will not stay lit.</p><p>The <strong>left tip</strong> orientation aims the flame at the main burner. Tip direction is not cosmetic: a pilot aimed wrong lights late, heats the thermocouple poorly, or fails to carry over to the burner at all.</p><p>Pilot assemblies are sized and aimed for the appliance they were built for, and the catalogue is full of parts that look alike across the bench. Bracket geometry, tube length, tip direction and orifice all have to line up, which is why the part number on the old assembly is worth more than a visual match.</p><p>When a pilot problem turns out not to be the burner, it is nearly always upstream of it: a blocked or kinked pilot tube, a thermocouple that no longer makes millivolts, or a draft condition pulling the flame off the thermocouple tip. Replace the assembly, but check the tube and the draft while it is apart.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q345A1313/U</li><li><strong>Type:</strong> Pilot burner</li><li><strong>Tip style:</strong> Left</li><li><strong>UPC:</strong> 085267067867</li><li><strong>Category:</strong> Pilot Burners</li></ul>"
combination-intermittent-pilot-burner-and-ignitor-with-right-tip,UPDATE,"<p>Combination intermittent pilot burner and ignitor from Resideo (Honeywell Home), part number Q345A1321/U, right single-tip style.</p><p>A combination unit carries the pilot burner and the ignition electrode in one bracket, so the spark gap is set at the factory and cannot drift out of position during service. On an intermittent pilot system that gap is the difference between lighting on the first try and locking out.</p><p>The <strong>right tip</strong> orientation aims the flame at the main burner. Tip direction is not cosmetic: a pilot aimed wrong lights late, heats the thermocouple poorly, or fails to carry over to the burner at all.</p><p>Pilot assemblies are sized and aimed for the appliance they were built for, and the catalogue is full of parts that look alike across the bench. Bracket geometry, tube length, tip direction and orifice all have to line up, which is why the part number on the old assembly is worth more than a visual match.</p><p>When a pilot problem turns out not to be the burner, it is nearly always upstream of it: a blocked or kinked pilot tube, a thermocouple that no longer makes millivolts, or a draft condition pulling the flame off the thermocouple tip. Replace the assembly, but check the tube and the draft while it is apart.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q345A1321/U</li><li><strong>Type:</strong> Combination intermittent pilot burner and ignitor</li><li><strong>Tip style:</strong> Right</li><li><strong>UPC:</strong> 085267067874</li><li><strong>Category:</strong> Pilot Burners</li></ul>"
compression-fitting-for-1-4-in-od-pilot-tubing-0-78-in-total-overall-length,UPDATE,"<p>Compression fitting from Resideo (Honeywell Home) for 1/4 in OD pilot tubing, 0.78 in overall, part number 386449-1/U.</p><p>Pilot tubing carries gas at a few inches of water column, and the joint at each end is a compression fitting on soft aluminium or copper line. The fitting is cheap, it is the part most often mangled during a pilot replacement, and a weeping one is a gas leak at head height inside the appliance cabinet.</p><p>Fittings differ in overall length even at the same tube size, which is why the number matters — the length is what lets the nut reach the thread on a particular valve body.</p><p>Tighten these by feel and not by force. The ferrule sets on soft tube in well under a full turn past snug, and a fitting cranked down crushes the tube, restricting the pilot gas rate rather than sealing it.</p><p>Never reuse a ferrule that has already been set on another tube. It has taken the shape of that tube and it will not seal on a new one, which is the usual reason a pilot line weeps after a repair.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 386449-1/U</li><li><strong>Type:</strong> Pilot tubing compression fitting</li><li><strong>Tube OD:</strong> 1/4 in OD</li><li><strong>Overall length:</strong> 0.78 in</li><li><strong>UPC:</strong> 085267796989</li><li><strong>Category:</strong> Ignition Components</li></ul>"
compression-fitting-for-1-4-in-od-pilot-tubing-1-15-in-total-overall-length,UPDATE,"<p>Compression fitting from Resideo (Honeywell Home) for 1/4 in OD pilot tubing, 1.15 in overall, part number 386449-4/U.</p><p>Pilot tubing carries gas at a few inches of water column, and the joint at each end is a compression fitting on soft aluminium or copper line. The fitting is cheap, it is the part most often mangled during a pilot replacement, and a weeping one is a gas leak at head height inside the appliance cabinet.</p><p>Fittings differ in overall length even at the same tube size, which is why the number matters — the length is what lets the nut reach the thread on a particular valve body.</p><p>Tighten these by feel and not by force. The ferrule sets on soft tube in well under a full turn past snug, and a fitting cranked down crushes the tube, restricting the pilot gas rate rather than sealing it.</p><p>Never reuse a ferrule that has already been set on another tube. It has taken the shape of that tube and it will not seal on a new one, which is the usual reason a pilot line weeps after a repair.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 386449-4/U</li><li><strong>Type:</strong> Pilot tubing compression fitting</li><li><strong>Tube OD:</strong> 1/4 in OD</li><li><strong>Overall length:</strong> 1.15 in</li><li><strong>UPC:</strong> 085267027847</li><li><strong>Category:</strong> Ignition Components</li></ul>"
compression-fitting-for-1-8-in-od-pilot-tubing-0-78-in-total-overall-length,UPDATE,"<p>Compression fitting from Resideo (Honeywell Home) for 1/8 in OD pilot tubing, 0.78 in overall, part number 392449-1/U.</p><p>Pilot tubing carries gas at a few inches of water column, and the joint at each end is a compression fitting on soft aluminium or copper line. The fitting is cheap, it is the part most often mangled during a pilot replacement, and a weeping one is a gas leak at head height inside the appliance cabinet.</p><p>Fittings differ in overall length even at the same tube size, which is why the number matters — the length is what lets the nut reach the thread on a particular valve body.</p><p>Tighten these by feel and not by force. The ferrule sets on soft tube in well under a full turn past snug, and a fitting cranked down crushes the tube, restricting the pilot gas rate rather than sealing it.</p><p>Never reuse a ferrule that has already been set on another tube. It has taken the shape of that tube and it will not seal on a new one, which is the usual reason a pilot line weeps after a repair.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 392449-1/U</li><li><strong>Type:</strong> Pilot tubing compression fitting</li><li><strong>Tube OD:</strong> 1/8 in OD</li><li><strong>Overall length:</strong> 0.78 in</li><li><strong>UPC:</strong> 085267029469</li><li><strong>Category:</strong> Ignition Components</li></ul>"
direct-spark-ignition-control-two-rod-with-21-second-trial-and-lockout-time,UPDATE,"<p>Direct spark ignition control from Resideo (Honeywell Home), part number S87C1030/U, 21 second trial for ignition, two rod.</p><p>The ignition control runs the light-off sequence and holds the safety logic: purge, energise the igniter, open the gas, look for flame, and lock out if it does not find one. The trial-for-ignition period is how long it will let gas flow while waiting for proof of flame, and it is a safety figure, not a preference.</p><p><strong>Gas appliance safety.</strong> A gas valve must match the appliance it is fitted to — ignition system, capacity, inlet pressure and gas type. Replacement is work for a licensed gas technician, and the appliance manufacturer's parts list is what decides the correct valve, not the physical fit of the threads. If the replacement does not match, the appliance can fail to light, fail to prove flame, or overfire.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> S87C1030/U</li><li><strong>Type:</strong> Direct spark ignition control</li><li><strong>Trial for ignition:</strong> 21 s</li><li><strong>UPC:</strong> 085267085250</li><li><strong>Category:</strong> Ignition Controls</li></ul>"
direct-spark-ignition-hot-surface-ignition-or-intermittent-pilot-ignition-gas-valve,UPDATE,"<p>The VR8345M4302 is a gas control valve from Resideo (Honeywell Home) for universal appliances.</p><p>The gas valve is the component that admits fuel to the burner and shuts it off. It carries the main shutoff, the pressure regulator that holds manifold pressure steady as supply pressure varies, and the safety interlock that keeps gas off until the control system has proved it is safe to light.</p><p>This is a <strong>universal</strong> valve, built to serve intermittent pilot and direct ignition systems both. One part number covers applications that would otherwise take two, which is why it is the valve a service truck carries.</p><p><strong>Gas appliance safety.</strong> A gas valve must match the appliance it is fitted to — ignition system, capacity, inlet pressure and gas type. Replacement is work for a licensed gas technician, and the appliance manufacturer's parts list is what decides the correct valve, not the physical fit of the threads. If the replacement does not match, the appliance can fail to light, fail to prove flame, or overfire.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VR8345M4302/U</li><li><strong>Type:</strong> Gas control valve</li><li><strong>Ignition system:</strong> Universal</li><li><strong>UPC:</strong> 085267780117</li><li><strong>Shipping weight:</strong> 2.0 lb</li><li><strong>Category:</strong> Gas Valves</li></ul>"
dual-direct-ignition-intermittent-pilot-gas-valve,UPDATE,"<p>The VR8345H4555 is a two-stage gas control valve from Resideo (Honeywell Home) for universal appliances.</p><p>The gas valve is the component that admits fuel to the burner and shuts it off. It carries the main shutoff, the pressure regulator that holds manifold pressure steady as supply pressure varies, and the safety interlock that keeps gas off until the control system has proved it is safe to light.</p><p>This is a <strong>universal</strong> valve, built to serve intermittent pilot and direct ignition systems both. One part number covers applications that would otherwise take two, which is why it is the valve a service truck carries.</p><p>Two-stage firing lets the appliance run at part load for most of the season and only go to full rate when the load demands it. Longer, gentler burns hold temperature more evenly and cut the cycling losses that come with a single-stage burner switching hard on and off.</p><p><strong>Gas appliance safety.</strong> A gas valve must match the appliance it is fitted to — ignition system, capacity, inlet pressure and gas type. Replacement is work for a licensed gas technician, and the appliance manufacturer's parts list is what decides the correct valve, not the physical fit of the threads. If the replacement does not match, the appliance can fail to light, fail to prove flame, or overfire.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VR8345H4555/U</li><li><strong>Type:</strong> Gas control valve</li><li><strong>Ignition system:</strong> Universal</li><li><strong>Staging:</strong> Two-stage</li><li><strong>UPC:</strong> 085267797313</li><li><strong>Shipping weight:</strong> 1.8 lb</li><li><strong>Category:</strong> Gas Valves</li></ul>"
fast-fast-opening-smartvalve-intermittent-hot-surface-pilot,UPDATE,"<p>The SV9501M8129 is a SmartValve system control from Resideo (Honeywell Home): gas valve and ignition module in one assembly, built for intermittent pilot appliances.</p><p>What makes a SmartValve different from a plain gas valve is that the ignition sequence lives inside it. A conventional system needs a separate ignition module wired to the valve; the SmartValve carries the timing, the trial-for-ignition and the flame proving itself, which removes a module, a harness and a set of connections from the appliance.</p><p>The valve is <strong>fast</strong>. Opening rate matters on ignition: too fast on a burner that was designed for a soft light-off gives a hard start, and too slow on one expecting full rate can drop out the flame proving before the burner is established.</p><p><strong>Gas appliance safety.</strong> A gas valve must match the appliance it is fitted to — ignition system, capacity, inlet pressure and gas type. Replacement is work for a licensed gas technician, and the appliance manufacturer's parts list is what decides the correct valve, not the physical fit of the threads. If the replacement does not match, the appliance can fail to light, fail to prove flame, or overfire.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> SV9501M8129/U</li><li><strong>Type:</strong> SmartValve system control</li><li><strong>Ignition:</strong> Intermittent pilot</li><li><strong>Opening rate:</strong> Fast</li><li><strong>UPC:</strong> 085267791083</li><li><strong>Category:</strong> Gas Valves</li></ul>"
flame-sensor-with-6-37-in-rod-height,UPDATE,"<p>Flame sensor from Resideo (Honeywell Home), part number Q354A1018/U, 6.37 in rod height.</p><p>The flame sensor is the appliance's proof that the burner is actually lit. A flame conducts current in one direction only, and the control measures that rectified microamp signal. No signal, no gas — the valve closes within seconds.</p><p>Most ""furnace lights then shuts down"" calls end here. Oxide builds on the rod over seasons and chokes a signal that is measured in millionths of an amp. Cleaning buys time; a rod that has thinned or warped needs replacing.</p><p>Position is as important as condition. The rod has to sit in the flame envelope through the whole firing range, not just at light-off, and a burner that has been re-shaped by years of service can leave a perfectly good sensor sitting in the wrong place.</p><p>Rod height is what makes one sensor different from another in this family. Fitting a taller or shorter rod puts the sensing tip outside the flame and produces exactly the fault the part was meant to fix.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q354A1018/U</li><li><strong>Type:</strong> Flame sensor</li><li><strong>Rod height:</strong> 6.37 in</li><li><strong>UPC:</strong> 085267068932</li><li><strong>Category:</strong> Ignition Components</li></ul>"
ignitor-sensor-assembly-used-with-y8610-kits,UPDATE,"<p>Ignitor-sensor assembly from Resideo (Honeywell Home) for use with Y8610 intermittent pilot retrofit kits, part number 392431/U.</p><p>This assembly sparks to light the pilot and then proves it by flame rectification, which is what lets the retrofit kit shut the gas off within seconds if the pilot does not establish.</p><p>It is a service part for the Y8610 kit specifically. Confirm the kit model before ordering.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 392431/U</li><li><strong>Type:</strong> Ignitor-sensor assembly</li><li><strong>Used with:</strong> Y8610 kits</li><li><strong>UPC:</strong> 085267796927</li><li><strong>Category:</strong> Ignition Components</li></ul>"
multi-system-pilot-burner,UPDATE,"<p>Pilot burner from Resideo (Honeywell Home), part number Q3451U1000/U.</p><p>The pilot burner holds the small standing flame that lights the main burner and keeps the thermocouple hot. It is a part that does not fail so much as it clogs — lint, rust scale and spider webs in the pilot tube are the classic cause of a furnace that will not stay lit.</p><p>This is a <strong>universal</strong> pilot burner: it ships with the hardware and orifices to cover a range of appliances, which is what makes it the one worth carrying on the truck rather than ordering per job.</p><p>Pilot assemblies are sized and aimed for the appliance they were built for, and the catalogue is full of parts that look alike across the bench. Bracket geometry, tube length, tip direction and orifice all have to line up, which is why the part number on the old assembly is worth more than a visual match.</p><p>When a pilot problem turns out not to be the burner, it is nearly always upstream of it: a blocked or kinked pilot tube, a thermocouple that no longer makes millivolts, or a draft condition pulling the flame off the thermocouple tip. Replace the assembly, but check the tube and the draft while it is apart.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q3451U1000/U</li><li><strong>Type:</strong> Pilot burner</li><li><strong>Universal:</strong> Yes</li><li><strong>UPC:</strong> 085267279154</li><li><strong>Category:</strong> Pilot Burners</li></ul>"
multi-system-pilot-burner-hone-q348u1009-u,UPDATE,"<p>Pilot burner from Resideo (Honeywell Home), part number Q348U1009/U.</p><p>The pilot burner holds the small standing flame that lights the main burner and keeps the thermocouple hot. It is a part that does not fail so much as it clogs — lint, rust scale and spider webs in the pilot tube are the classic cause of a furnace that will not stay lit.</p><p>This is a <strong>universal</strong> pilot burner: it ships with the hardware and orifices to cover a range of appliances, which is what makes it the one worth carrying on the truck rather than ordering per job.</p><p>Pilot assemblies are sized and aimed for the appliance they were built for, and the catalogue is full of parts that look alike across the bench. Bracket geometry, tube length, tip direction and orifice all have to line up, which is why the part number on the old assembly is worth more than a visual match.</p><p>When a pilot problem turns out not to be the burner, it is nearly always upstream of it: a blocked or kinked pilot tube, a thermocouple that no longer makes millivolts, or a draft condition pulling the flame off the thermocouple tip. Replace the assembly, but check the tube and the draft while it is apart.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q348U1009/U</li><li><strong>Type:</strong> Pilot burner</li><li><strong>Universal:</strong> Yes</li><li><strong>UPC:</strong> 085267462174</li><li><strong>Category:</strong> Pilot Burners</li></ul>"
