Handle,Command,Body HTML
premier-white-cover-plate-assembly-with-4-3-4-in-x-4-3-4-in-coverplate,UPDATE,"<p>The 50005625-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50005625-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267261265</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
cover-plate-for-pro-th1000-and-pro-th2000-series-5-3-4-x-7-3-8-in-premier-white,UPDATE,"<p>The 50022893-001 is a thermostat cover plate from Resideo (Honeywell Home), 5-3/4 x 7-3/8 in.</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50022893-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>Size:</strong> 5-3/4 x 7-3/8 in</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
cover-plate-prestige,UPDATE,"<p>The 50028399-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50028399-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267701792</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
visionpro-8000-with-redlink-technology-for-residential-or-commercial-use-stages-up-to-1-heat-1-cool,UPDATE,"<p>The TH8110R1008 is a VisionPRO 8000 thermostat from Resideo (Honeywell Home), Up to 1 Heat / 1 Cool Heat Pump or Up to 1 Heat / 1 Cool Conventional when used standalone; Up to 4 Heat / 2 Cool Heat Pump or Up to 3 Heat / 2 Cool Conventional when used with the Equipment Interface Module.</p><p>A thermostat earns its price on the equipment it can drive properly, not on the screen. Multi-stage heating, a heat pump with auxiliary, humidification and ventilation are all decisions the thermostat makes or fails to make; a stat that can only switch one stage runs two-stage equipment as though it were single-stage and throws away the efficiency that was paid for.</p><p>This one drives <strong>Up to 1 Heat / 1 Cool Heat Pump or Up to 1 Heat / 1 Cool Conventional when used standalone; Up to 4 Heat / 2 Cool Heat Pump or Up to 3 Heat / 2 Cool Conventional when used with the Equipment Interface Module</strong>. Check that against the equipment before ordering — it is the specification that decides whether the install works, and the one most often skipped in favor of the feature list.</p><p><strong>RedLINK</strong> is what lets it work with wireless sensors, outdoor sensors and equipment modules without pulling wire for each one. On a retrofit that is the difference between a thermostat swap and opening walls.</p><p>Used with: Works standalone or with optional THM5421R1021 Equipment Interface Module and RedLINK™ accessories.</p><p>Goes with: <a href=""/products/wiresaver-a-c-wire-adapter-for-wi-fi-thermostats-or-redlink-8000-series-models"">THP9045A1023</a>.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TH8110R1008/U</li><li><strong>Type:</strong> VisionPRO 8000 thermostat</li><li><strong>Stages:</strong> Up to 1 Heat / 1 Cool Heat Pump or Up to 1 Heat / 1 Cool Conventional when used standalone; Up to 4 Heat / 2 Cool Heat Pump or Up to 3 Heat / 2 Cool Conventional when used with the Equipment Interface Module</li><li><strong>Supply voltage:</strong> 18 to 30 Vac or 750 mV</li><li><strong>System switch:</strong> HEAT-OFF-COOL-AUTO</li><li><strong>Application:</strong> 1 Heat/1 Cool Conventional Systems and Heat Pumps</li><li><strong>Used with:</strong> Works standalone or with optional THM5421R1021 Equipment Interface Module and RedLINK™ accessories</li><li><strong>Dimensions:</strong> 4 5/8 in High, 4 15/16 in Wide, 1 1/8 in Deep</li><li><strong>UPC:</strong> 085267444316</li><li><strong>Category:</strong> Thermostats</li></ul>"
wi-fi-visionpro-8000-for-residential-or-commercial-use-stages-up-to-up-to-3-heat-2-cool,UPDATE,"<p>The TH8321WF1001 is a VisionPRO 8000 thermostat from Resideo (Honeywell Home), Wi-Fi connected, Up to 3 Heat / 2 Cool Heat Pump or Up to 2 Heat / 2 Cool Conventional.</p><p>A thermostat earns its price on the equipment it can drive properly, not on the screen. Multi-stage heating, a heat pump with auxiliary, humidification and ventilation are all decisions the thermostat makes or fails to make; a stat that can only switch one stage runs two-stage equipment as though it were single-stage and throws away the efficiency that was paid for.</p><p>This one drives <strong>Up to 3 Heat / 2 Cool Heat Pump or Up to 2 Heat / 2 Cool Conventional</strong>. Check that against the equipment before ordering — it is the specification that decides whether the install works, and the one most often skipped in favor of the feature list.</p><p>Wi-Fi gives remote control and alerts. The alert is worth more than the control: a house that reports it is at 45 °F in February is a house where something can still be done about it.</p><p>Goes with: <a href=""/products/wiresaver-a-c-wire-adapter-for-wi-fi-thermostats-or-redlink-8000-series-models"">THP9045A1023</a>.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TH8321WF1001/U</li><li><strong>Type:</strong> VisionPRO 8000 thermostat</li><li><strong>Stages:</strong> Up to 3 Heat / 2 Cool Heat Pump or Up to 2 Heat / 2 Cool Conventional</li><li><strong>Supply voltage:</strong> 18 to 30 Vac</li><li><strong>System switch:</strong> HEAT-OFF-COOL-AUTO-EM.HEAT</li><li><strong>Application:</strong> Up to 2 Heat/2 Cool Conventional Systems; Up to 3 Heat/2 Cool Heat Pumps</li><li><strong>Dimensions:</strong> 4-5/8 in High, 4-15/16 in Wide, 1-1/8 in Deep</li><li><strong>UPC:</strong> 085267872416</li><li><strong>Shipping weight:</strong> 0.5 lb</li><li><strong>Category:</strong> Thermostats</li></ul>"
wifi-9000-color-touchscreen-thermostat,UPDATE,"<p>The TH9320WF5003 is a WiFi 9000 Color thermostat from Resideo (Honeywell Home), Wi-Fi connected, Up to 3 Heat/2 Cool Heat Pump; Up to 2 Heat/2 Cool Conventional.</p><p>A thermostat earns its price on the equipment it can drive properly, not on the screen. Multi-stage heating, a heat pump with auxiliary, humidification and ventilation are all decisions the thermostat makes or fails to make; a stat that can only switch one stage runs two-stage equipment as though it were single-stage and throws away the efficiency that was paid for.</p><p>This one drives <strong>Up to 3 Heat/2 Cool Heat Pump; Up to 2 Heat/2 Cool Conventional</strong>. Check that against the equipment before ordering — it is the specification that decides whether the install works, and the one most often skipped in favor of the feature list.</p><p>Wi-Fi gives remote control and alerts. The alert is worth more than the control: a house that reports it is at 45 °F in February is a house where something can still be done about it.</p><p>Used with: THP9045 Wire Saver.</p><p>Goes with: <a href=""/products/wiresaver-a-c-wire-adapter-for-wi-fi-thermostats-or-redlink-8000-series-models"">THP9045A1023</a>.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TH9320WF5003/U</li><li><strong>Type:</strong> WiFi 9000 Color thermostat</li><li><strong>Stages:</strong> Up to 3 Heat/2 Cool Heat Pump; Up to 2 Heat/2 Cool Conventional</li><li><strong>Supply voltage:</strong> 18 to 30 Vac</li><li><strong>System switch:</strong> HEAT-OFF-COOL-AUTO-EM.HEAT</li><li><strong>Application:</strong> Up to 2 Heat/2 Cool Conventional Systems; Up to 3 Heat/2 Cool Heat Pumps</li><li><strong>Used with:</strong> THP9045 Wire Saver</li><li><strong>Dimensions:</strong> 3 1/2 in High, 4 1/2 in Wide, 7/8 in Deep</li><li><strong>UPC:</strong> 085267344951</li><li><strong>Shipping weight:</strong> 0.65 lb</li><li><strong>Category:</strong> Thermostats</li></ul>"
coverplate-assembly-for-use-with-the-redlink-visionpro,UPDATE,"<p>The THP2400A1019 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> THP2400A1019/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267957427</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
white-coverplate-assembly-for-use-with-the-prestige-2-wire-iaq-thermostat,UPDATE,"<p>The THP2400A1027W is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><p>Goes with: <a href=""/products/2-wire-iaq-high-definition-color-touchscreen-white-front-white-side-thermostat-with-redlink-technology"">THX9421R5021WW</a>.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> THP2400A1027W/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267277822</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
large-cover-plate-j-box-adapter-for-t-series-thermostats,UPDATE,"<p>The THP2400A1080 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> THP2400A1080/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 194159007178</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
2-wire-iaq-high-definition-color-touchscreen-white-front-white-side-thermostat-with-redlink-technology,UPDATE,"<p>The THX9421R5021WW is a Prestige thermostat from Resideo (Honeywell Home), Up to 4 Heat/2 Cool Heat Pumps; Up to 3 Heat/2 Cool Conventional Systems, See Equipment Interface Module.</p><p>A thermostat earns its price on the equipment it can drive properly, not on the screen. Multi-stage heating, a heat pump with auxiliary, humidification and ventilation are all decisions the thermostat makes or fails to make; a stat that can only switch one stage runs two-stage equipment as though it were single-stage and throws away the efficiency that was paid for.</p><p>This one drives <strong>Up to 4 Heat/2 Cool Heat Pumps; Up to 3 Heat/2 Cool Conventional Systems, See Equipment Interface Module</strong>. Check that against the equipment before ordering — it is the specification that decides whether the install works, and the one most often skipped in favor of the feature list.</p><p><strong>RedLINK</strong> is what lets it work with wireless sensors, outdoor sensors and equipment modules without pulling wire for each one. On a retrofit that is the difference between a thermostat swap and opening walls.</p><p>Used with: THM5421R1021 Equipment Interface Module and RedLINK™ accessories.</p><p>Goes with: <a href=""/products/prestige-2-wire-iaq-equipment-interface-module"">THM5421R1021</a>.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> THX9421R5021WW/U</li><li><strong>Type:</strong> Prestige thermostat</li><li><strong>Stages:</strong> Up to 4 Heat/2 Cool Heat Pumps; Up to 3 Heat/2 Cool Conventional Systems, See Equipment Interface Module</li><li><strong>Supply voltage:</strong> 18 to 30 Vac</li><li><strong>System switch:</strong> HEAT-OFF-COOL-AUTO-EM.HEAT</li><li><strong>Application:</strong> Up to 3 Heat/2 Cool Conventional Systems; Up to 4 Heat/2 Cool Heat Pumps</li><li><strong>Used with:</strong> THM5421R1021 Equipment Interface Module and RedLINK™ accessories</li><li><strong>Dimensions:</strong> 3 1/2 in High, 4 1/2 in Wide, 7/8 in Deep</li><li><strong>UPC:</strong> 085267653626</li><li><strong>Category:</strong> Thermostats</li></ul>"
prestige-iaq-kit-plus-wireless-outdoor-sensor,UPDATE,"<p>The YTHX9421R5101WW is a Prestige thermostat from Resideo (Honeywell Home), supplied as a kit, Up to 4 Heat/2 Cool Heat Pumps; Up to 3 Heat/2 Cool Conventional Systems.</p><p>A thermostat earns its price on the equipment it can drive properly, not on the screen. Multi-stage heating, a heat pump with auxiliary, humidification and ventilation are all decisions the thermostat makes or fails to make; a stat that can only switch one stage runs two-stage equipment as though it were single-stage and throws away the efficiency that was paid for.</p><p>This one drives <strong>Up to 4 Heat/2 Cool Heat Pumps; Up to 3 Heat/2 Cool Conventional Systems</strong>. Check that against the equipment before ordering — it is the specification that decides whether the install works, and the one most often skipped in favor of the feature list.</p><p><strong>RedLINK</strong> is what lets it work with wireless sensors, outdoor sensors and equipment modules without pulling wire for each one. On a retrofit that is the difference between a thermostat swap and opening walls.</p><p>The kit version ships with the parts the system needs to be commissioned together rather than sourced separately and hoped to match.</p><p>Used with: RedLINK™ accessories.</p><p>Goes with: <a href=""/products/2-wire-iaq-high-definition-color-touchscreen-white-front-white-side-thermostat-with-redlink-technology"">THX9421R5021WW</a>, <a href=""/products/prestige-2-wire-iaq-equipment-interface-module"">THM5421R1021</a>, <a href=""/products/c7089r1013-redlink-outdoor-temperature-and-humidity-sensor"">C7089R1013</a>.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> YTHX9421R5101WW/U</li><li><strong>Type:</strong> Prestige thermostat kit</li><li><strong>Stages:</strong> Up to 4 Heat/2 Cool Heat Pumps; Up to 3 Heat/2 Cool Conventional Systems</li><li><strong>Supply voltage:</strong> 18 to 30 Vac</li><li><strong>System switch:</strong> HEAT-OFF-COOL-AUTO-EM.HEAT</li><li><strong>Application:</strong> Up to 3 Heat/2 Cool Conventional Systems; Up to 4 Heat/2 Cool Heat Pumps</li><li><strong>Used with:</strong> RedLINK™ accessories</li><li><strong>Dimensions:</strong> 3 1/2 in High, 4 1/2 in Wide, 7/8 in Deep</li><li><strong>UPC:</strong> 085267025850</li><li><strong>Shipping weight:</strong> 5.0 lb</li><li><strong>Category:</strong> Thermostats</li></ul>"
